"REF_DATE","GEO","DGUID","Estimate","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-06","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2222975","B","","","0"
"2022-07","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2217603","B","","","0"
"2022-08","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2218647","A","","","0"
"2022-09","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2227759","A","","","0"
"2022-10","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2230953","A","","","0"
"2022-11","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2240004","B","","","0"
"2022-12","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2248082","B","","","0"
"2023-01","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2255752","B","","","0"
"2023-02","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2259684","A","","","0"
"2023-03","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2262918","B","","","0"
"2023-04","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2268014","A","","","0"
"2023-05","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2282979","B","","","0"
"2023-06","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2293883","B","","","0"
"2023-07","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2300202","B","","","0"
"2023-08","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2310355","B","","","0"
"2023-09","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2319465","B","","","0"
"2023-10","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2331551","B","","","0"
"2023-11","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2337927","B","","","0"
"2023-12","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2340018","A","","","0"
"2024-01","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2343249","B","","","0"
"2024-02","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2351179","B","","","0"
"2024-03","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2362565","B","","","0"
"2024-04","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2370686","A","","","0"
"2024-05","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2382636","B","","","0"
"2024-06","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2377641","A","","","0"
"2024-07","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2392612","B","","","0"
"2024-08","Canada","2021A000011124","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310795","1.1.331","2404649","B","","","0"
"2020-01","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","34852","A","","","0"
"2020-02","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","35163","B","","","0"
"2020-03","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","34511","B","","","0"
"2020-04","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","32300","B","","","0"
"2020-05","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","31439","B","","","0"
"2020-06","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","32239","A","","","0"
"2020-07","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","32387","B","","","0"
"2020-08","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","33245","A","","","0"
"2020-09","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","33486","A","","","0"
"2020-10","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","34582","A","","","0"
"2020-11","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","34828","A","","","0"
"2020-12","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","34812","B","","","0"
"2021-01","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","35351","B","","","0"
"2021-02","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","35486","A","","","0"
"2021-03","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","35290","A","","","0"
"2021-04","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","35920","A","","","0"
"2021-05","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","36049","A","","","0"
"2021-06","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","35953","A","","","0"
"2021-07","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","35828","A","","","0"
"2021-08","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","36207","B","","","0"
"2021-09","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","36077","B","","","0"
"2021-10","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","35989","A","","","0"
"2021-11","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","36082","A","","","0"
"2021-12","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","35610","B","","","0"
"2022-01","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","35925","C","","","0"
"2022-02","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","36091","C","","","0"
"2022-03","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","35993","B","","","0"
"2022-04","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","35802","B","","","0"
"2022-05","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","36358","B","","","0"
"2022-06","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","36386","B","","","0"
"2022-07","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","35798","B","","","0"
"2022-08","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","35512","B","","","0"
"2022-09","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","35316","A","","","0"
"2022-10","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","35725","B","","","0"
"2022-11","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","36044","B","","","0"
"2022-12","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","36007","B","","","0"
"2023-01","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","35910","B","","","0"
"2023-02","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","35933","B","","","0"
"2023-03","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","36054","B","","","0"
"2023-04","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","36457","B","","","0"
"2023-05","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","36167","B","","","0"
"2023-06","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","36400","B","","","0"
"2023-07","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","36567","B","","","0"
"2023-08","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","37034","B","","","0"
"2023-09","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","36862","B","","","0"
"2023-10","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","37006","B","","","0"
"2023-11","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","37078","B","","","0"
"2023-12","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","37546","B","","","0"
"2024-01","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","36991","B","","","0"
"2024-02","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","37103","A","","","0"
"2024-03","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","37175","B","","","0"
"2024-04","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","38473","B","","","0"
"2024-05","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","37695","B","","","0"
"2024-06","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","37810","B","","","0"
"2024-07","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","38469","B","","","0"
"2024-08","Newfoundland and Labrador","2021A000210","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310822","2.1.331","38168","B","","","0"
"2020-01","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","10347","B","","","0"
"2020-02","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","10379","C","","","0"
"2020-03","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","10053","B","","","0"
"2020-04","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","8885","B","","","0"
"2020-05","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","8633","B","","","0"
"2020-06","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","8727","B","","","0"
"2020-07","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","8910","B","","","0"
"2020-08","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9022","B","","","0"
"2020-09","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9183","A","","","0"
"2020-10","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9374","A","","","0"
"2020-11","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9322","B","","","0"
"2020-12","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9220","B","","","0"
"2021-01","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9328","B","","","0"
"2021-02","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9442","B","","","0"
"2021-03","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9406","B","","","0"
"2021-04","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9428","B","","","0"
"2021-05","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9629","B","","","0"
"2021-06","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9544","B","","","0"
"2021-07","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9432","B","","","0"
"2021-08","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9420","B","","","0"
"2021-09","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9484","B","","","0"
"2021-10","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9533","B","","","0"
"2021-11","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9542","B","","","0"
"2021-12","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9806","B","","","0"
"2022-01","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9787","B","","","0"
"2022-02","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9662","B","","","0"
"2022-03","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9719","B","","","0"
"2022-04","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9635","B","","","0"
"2022-05","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9783","B","","","0"
"2022-06","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9806","B","","","0"
"2022-07","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9780","B","","","0"
"2022-08","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9879","B","","","0"
"2022-09","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9898","B","","","0"
"2022-10","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9789","B","","","0"
"2022-11","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9785","B","","","0"
"2022-12","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9800","B","","","0"
"2023-01","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9843","B","","","0"
"2023-02","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","10023","B","","","0"
"2023-03","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9931","B","","","0"
"2023-04","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9874","A","","","0"
"2023-05","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","10015","B","","","0"
"2023-06","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9939","B","","","0"
"2023-07","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9953","B","","","0"
"2023-08","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","10036","A","","","0"
"2023-09","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9872","B","","","0"
"2023-10","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9872","B","","","0"
"2023-11","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9993","B","","","0"
"2023-12","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9979","A","","","0"
"2024-01","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9887","B","","","0"
"2024-02","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9883","B","","","0"
"2024-03","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","9971","B","","","0"
"2024-04","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","10303","A","","","0"
"2024-05","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","10400","B","","","0"
"2024-06","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","10429","B","","","0"
"2024-07","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","10502","B","","","0"
"2024-08","Prince Edward Island","2021A000211","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310849","3.1.331","10507","B","","","0"
"2020-01","Nova Scotia","2021A000212","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310876","4.1.331","69061","A","","","0"
"2020-02","Nova Scotia","2021A000212","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310876","4.1.331","69356","B","","","0"
"2020-03","Nova Scotia","2021A000212","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310876","4.1.331","67890","B","","","0"
"2020-04","Nova Scotia","2021A000212","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310876","4.1.331","63487","B","","","0"
"2020-05","Nova Scotia","2021A000212","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310876","4.1.331","62577","B","","","0"
"2020-06","Nova Scotia","2021A000212","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310876","4.1.331","64663","A","","","0"
"2020-07","Nova Scotia","2021A000212","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310876","4.1.331","65756","A","","","0"
"2020-08","Nova Scotia","2021A000212","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310876","4.1.331","65602","A","","","0"
"2020-09","Nova Scotia","2021A000212","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310876","4.1.331","66425","A","","","0"
"2020-10","Nova Scotia","2021A000212","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310876","4.1.331","67684","A","","","0"
"2020-11","Nova Scotia","2021A000212","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310876","4.1.331","68003","A","","","0"
"2020-12","Nova Scotia","2021A000212","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310876","4.1.331","68323","A","","","0"
"2021-01","Nova Scotia","2021A000212","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310876","4.1.331","68774","A","","","0"
"2021-02","Nova Scotia","2021A000212","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310876","4.1.331","69688","A","","","0"
"2021-03","Nova Scotia","2021A000212","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310876","4.1.331","69448","A","","","0"
"2021-04","Nova Scotia","2021A000212","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310876","4.1.331","69836","A","","","0"
"2021-05","Nova Scotia","2021A000212","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310876","4.1.331","69318","A","","","0"
"2021-06","Nova Scotia","2021A000212","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310876","4.1.331","69787","A","","","0"
"2021-07","Nova Scotia","2021A000212","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310876","4.1.331","69862","A","","","0"
"2021-08","Nova Scotia","2021A000212","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310876","4.1.331","69830","A","","","0"
"2021-09","Nova Scotia","2021A000212","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310876","4.1.331","69334","A","","","0"
"2021-10","Nova Scotia","2021A000212","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310876","4.1.331","69393","A","","","0"
"2021-11","Nova Scotia","2021A000212","Employment for all employees","Health care and social assistance [62]","Persons","249","units","0","v79310876","4.1.331","70192","A","","","0"
